rna_type	count	in_rfam
rRNA	7132264	3607220
tRNA	1025012	680899
piRNA	203551	0
lncRNA	199232	0
misc_RNA	174947	0
other	144006	68931
miRNA	122294	99951
SRP_RNA	109404	107750
snRNA	100603	79330
snoRNA	88599	80983
siRNA	43883	0
hammerhead	40173	40101
precursor_	17176	0
antisense_	13115	9700
RNase_P_RN	10403	6479
lncRNA,antisense_	6628	0
antisense_,lncRNA	4526	0
piRNA,misc_RNA	3925	0
tmRNA	3421	0
misc_RNA,piRNA	1369	0
tmRNA,other	923	920
ribozyme	910	666
autocataly	897	0
scRNA	842	0
miRNA,precursor_	755	561
other,misc_RNA	688	515
RNase_MRP_	657	610
rRNA,misc_RNA	646	253
vault_RNA	486	480
precursor_,miRNA	463	252
siRNA,snRNA	454	0
misc_RNA,rRNA	445	180
snRNA,siRNA	436	0
misc_RNA,other	355	238
rasiRNA	316	0
other,tmRNA	314	314
telomerase	269	173
snoRNA,misc_RNA	214	144
miRNA,misc_RNA	210	32
other,lncRNA	205	192
RNase_P_RN,misc_RNA	192	167
snoRNA,snRNA	161	120
misc_RNA,RNase_P_RN	144	125
miRNA,siRNA	107	0
precursor_,misc_RNA	105	0
guide_RNA	103	0
misc_RNA,snoRNA	100	69
other,antisense_	93	86
antisense_,other	88	73
lncRNA,other	83	59
rRNA,precursor_	79	75
precursor_,rRNA	77	74
snRNA,snoRNA	64	55
tmRNA,misc_RNA	60	0
SRP_RNA,misc_RNA	56	12
misc_RNA,miRNA	54	28
antisense_,misc_RNA	53	40
siRNA,miRNA	53	0
snoRNA,lncRNA	49	18
misc_RNA,precursor_	49	0
tmRNA,other,misc_RNA	43	43
other,snRNA	41	37
SRP_RNA,scRNA	38	18
tRNA,rRNA	38	22
tRNA,misc_RNA	37	10
miRNA,piRNA	37	0
lncRNA,snoRNA	36	6
miRNA,precursor_,misc_RNA	34	34
misc_RNA,SRP_RNA	33	3
tmRNA,misc_RNA,other	32	32
telomerase,misc_RNA	28	26
rRNA,other	28	24
snRNA,other	27	24
tRNA,other	26	25
misc_RNA,telomerase	26	24
lncRNA,misc_RNA	25	0
miRNA,siRNA,snRNA	23	0
hammerhead,misc_RNA	22	20
other,rRNA	21	16
snRNA,misc_RNA	21	6
rRNA,tRNA	19	6
scRNA,SRP_RNA	19	11
misc_RNA,lncRNA	18	0
rRNA,snRNA	17	0
misc_RNA,antisense_	17	8
miRNA,misc_RNA,precursor_	17	17
snoRNA,other	16	12
other,scRNA	16	16
piRNA,miRNA	16	0
RNA,lncRNA	15	0
misc_RNA,tRNA	15	3
antisense_,other,misc_RNA	15	10
antisense_,misc_RNA,other	15	8
lncRNA,RNA	15	0
other,tmRNA,misc_RNA	13	13
rRNA,siRNA	13	0
siRNA,misc_RNA	13	0
misc_RNA,snRNA	13	2
miRNA,snRNA,siRNA	12	0
other,antisense_,misc_RNA	12	11
scRNA,other	11	10
miRNA,snRNA	11	0
misc_RNA,antisense_,other	11	4
misc_RNA,tmRNA	10	0
SRP_RNA,lncRNA	10	10
misc_RNA,tmRNA,other	10	10
Y_RNA	9	0
SRP_RNA,other	9	3
other,snoRNA	9	6
other,misc_RNA,antisense_	9	5
ribozyme,misc_RNA	9	1
misc_RNA,autocataly	9	0
misc_RNA,ribozyme	8	3
other,tRNA	8	6
RNase_P_RN,other	8	6
precursor_,miRNA,misc_RNA	8	8
siRNA,miRNA,snRNA	8	0
snRNA,miRNA	7	1
RNA	7	0
precursor_,lncRNA	7	0
misc_RNA,hammerhead	7	6
miRNA,misc_RNA,piRNA	7	0
snRNA,rRNA	7	0
misc_RNA,siRNA	7	0
snoRNA,guide_RNA	7	2
other,RNase_P_RN	6	4
misc_RNA,other,antisense_	6	2
snRNA,lncRNA	6	2
siRNA,rRNA	6	0
lncRNA,SRP_RNA	6	6
ribozyme,hammerhead	6	6
rasiRNA,piRNA	6	0
autocataly,misc_RNA	6	0
snoRNA,miRNA	5	5
precursor_,misc_RNA,miRNA	5	3
other,Y_RNA	5	5
guide_RNA,snoRNA	5	0
antisense_,lncRNA,misc_RNA	5	0
scRNA,other,misc_RNA	5	5
siRNA,snRNA,miRNA	5	0
miRNA,other	5	0
lncRNA,RNase_P_RN	4	2
snoRNA,snRNA,lncRNA	4	3
miRNA,piRNA,misc_RNA	4	0
RNase_P_RN,lncRNA	4	4
rRNA,siRNA,snRNA	4	0
tRNA,tmRNA	4	0
SRP_RNA,snRNA	4	4
snRNA,RNase_MRP_	4	3
misc_RNA,guide_RNA,snoRNA	4	4
vault_RNA,misc_RNA	3	3
snoRNA,lncRNA,snRNA	3	2
piRNA,snRNA	3	0
tRNA,antisense_	3	2
other,misc_RNA,scRNA	3	3
vault_RNA,scRNA	3	3
miRNA,siRNA,snRNA,misc_RNA	3	0
other,SRP_RNA	3	2
hammerhead,ribozyme	3	3
siRNA,tRNA	3	0
scRNA,misc_RNA	3	0
snoRNA,snRNA,misc_RNA	3	1
snRNA,siRNA,miRNA	3	0
misc_RNA,miRNA,piRNA	3	0
other,miRNA	3	1
misc_RNA,scRNA,other	3	2
piRNA,rasiRNA	3	0
scRNA,snRNA	3	2
tRNA,siRNA	3	0
snoRNA,snRNA,guide_RNA	3	3
misc_RNA,miRNA,precursor_	3	3
autocataly,other	3	0
miRNA,snoRNA	3	3
snRNA,rRNA,siRNA	3	0
SRP_RNA,snoRNA	3	0
other,scRNA,misc_RNA	3	3
snRNA,snoRNA,misc_RNA	3	0
rRNA,misc_RNA,siRNA	2	0
snoRNA,lncRNA,guide_RNA,antisense_	2	0
tmRNA,tRNA	2	0
misc_RNA,precursor_,miRNA	2	2
other,misc_RNA,rRNA	2	1
lncRNA,snRNA	2	1
rRNA,snRNA,siRNA	2	0
other,siRNA	2	1
lncRNA,snoRNA,guide_RNA,snRNA	2	1
snRNA,snoRNA,guide_RNA	2	1
RNase_MRP_,snRNA	2	2
scRNA,vault_RNA	2	2
other,autocataly	2	0
other,misc_RNA,tmRNA	2	2
miRNA,lncRNA,misc_RNA	2	1
misc_RNA,lncRNA,antisense_	2	0
guide_RNA,lncRNA	2	0
RNase_MRP_,RNase_P_RN	2	1
snoRNA,lncRNA,guide_RNA	2	1
snoRNA,misc_RNA,other	2	2
RNase_P_RN,misc_RNA,other	2	1
snRNA,miRNA,siRNA	2	0
snoRNA,misc_RNA,snRNA	2	2
snoRNA,guide_RNA,snRNA	2	2
rRNA,SRP_RNA	2	0
