rna_type	family	count
rRNA	RF00177	2699405
rRNA	RF01960	253953
rRNA	RF02543	172464
rRNA	RF01959	161465
rRNA	RF02541	122072
rRNA	RF00001	108329
rRNA	RF00002	71940
rRNA	RF02540	9363
rRNA	RF01118	4597
rRNA	RF02542	3346
rRNA	RF02541,RF02540	131
rRNA	RF02540,RF02541	108
rRNA	RF00177,RF01959	23
rRNA	RF01959,RF00177	12
rRNA	RF02540,RF02543	3
rRNA	RF02541,RF02543	2
rRNA	RF02542,RF01960	2
rRNA	RF01960,RF02542	2
rRNA	RF00177,RF02542	1
rRNA	RF02540,RF02541,RF02543	1
rRNA	RF02543,RF02541	1
tRNA	RF00005	679928
tRNA	RF01852	971
other	RF00100	15550
other	RF00019	9574
other	RF02391	2999
other	RF00023	2817
other	RF02514	1820
other	RF01849	1760
other	RF00013	1717
other	RF02228	1151
other	RF01794	821
other	RF01830	798
other	RF01705	590
other	RF01394	557
other	RF01699	553
other	RF01793	512
other	RF01492	498
other	RF01814	473
other	RF02033	468
other	RF00102	449
other	RF02076	419
other	RF01687	415
other	RF02035	413
other	RF01823	413
other	RF01810	404
other	RF02221	402
other	RF00127	374
other	RF00519	362
other	RF01784	361
other	RF00018	357
other	RF01701	351
other	RF01317	348
other	RF01827	328
other	RF01776	262
other	RF01315	261
other	RF01690	258
other	RF00101	246
other	RF00113	246
other	RF02034	245
other	RF02344	219
other	RF00022	217
other	RF00199	214
other	RF02278	201
other	RF01684	200
other	RF01728	194
other	RF01318	189
other	RF00057	184
other	RF01405	184
other	RF01770	183
other	RF01781	182
other	RF01518	181
other	RF01396	177
other	RF02162	177
other	RF02111	172
other	RF02269	172
other	RF01851	171
other	RF02379	171
other	RF01656	170
other	RF00630	169
other	RF01813	164
other	RF00198	163
other	RF00378	158
other	RF01675	148
other	RF00083	142
other	RF00079	140
other	RF02081	134
other	RF00124	134
other	RF02362	131
other	RF01470	129
other	RF00128	125
other	RF00126	124
other	RF01071	123
other	RF01732	122
other	RF02471	120
other	RF02442	119
other	RF00021	118
other	RF01320	115
other	RF01316	112
other	RF01407	111
other	RF00082	108
other	RF00369	108
other	RF02399	107
other	RF01691	107
other	RF01769	106
other	RF01067	106
other	RF02053	105
other	RF01410	102
other	RF02084	102
other	RF01412	98
other	RF01797	97
other	RF02030	97
other	RF00444	97
other	RF00121	96
other	RF01693	95
other	RF02031	95
other	RF00166	93
other	RF00111	93
other	RF01512	93
other	RF02082	92
other	RF01685	92
other	RF00034	92
other	RF02376	90
other	RF02029	90
other	RF00078	89
other	RF02345	88
other	RF01845	88
other	RF00368	87
other	RF01496	87
other	RF00084	85
other	RF01116	85
other	RF01796	84
other	RF01408	84
other	RF00110	83
other	RF02079	83
other	RF02367	82
other	RF01702	82
other	RF01581	81
other	RF02447	80
other	RF02346	78
other	RF01471	78
other	RF02446	77
other	RF02032	77
other	RF02365	76
other	RF02452	75
other	RF02348	74
other	RF02144	73
other	RF02421	72
other	RF01400	71
other	RF02057	69
other	RF01809	68
other	RF01052	68
other	RF02360	67
other	RF00014	66
other	RF02364	65
other	RF01401	64
other	RF00112	64
other	RF02074	64
other	RF02347	64
other	RF02462	64
other	RF00370	64
other	RF02069	64
other	RF01815	62
other	RF02349	62
other	RF02405	62
other	RF01673	61
other	RF00624	61
