id	hit_rfam_acc	fam_name	hit_clan_acc	olp	e_value
URS0000000001	RF00177	SSU_rRNA_bacteria	CL00111	*	2e-33
URS0000000003	RF00177	SSU_rRNA_bacteria	CL00111	^	3.4e-94
URS0000000004	RF00177	SSU_rRNA_bacteria	CL00111	^	7.7e-90
URS0000000005	RF00177	SSU_rRNA_bacteria	CL00111	^	8e-136
URS0000000006	RF02541	LSU_rRNA_bacteria	CL00112	^	1.8e-27
URS0000000008	RF00005	tRNA	CL00001	*	1.6e-13
URS0000000009	RF00177	SSU_rRNA_bacteria	CL00111	^	2.8e-133
URS000000000A	RF00177	SSU_rRNA_bacteria	CL00111	^	4e-107
URS000000000B	RF00177	SSU_rRNA_bacteria	CL00111	^	1.5e-140
URS000000000C	RF00177	SSU_rRNA_bacteria	CL00111	^	3.1e-238
URS000000000D	RF02543	LSU_rRNA_eukarya	CL00112	^	1.9e-119
URS000000000F	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000010	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000011	RF02541	LSU_rRNA_bacteria	CL00112	^	0.0
URS0000000012	RF00177	SSU_rRNA_bacteria	CL00111	^	1.5e-162
URS0000000013	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000014	RF00177	SSU_rRNA_bacteria	CL00111	^	3.8e-65
URS0000000015	RF00177	SSU_rRNA_bacteria	CL00111	^	2.2e-61
URS0000000016	RF00177	SSU_rRNA_bacteria	CL00111	*	9.4e-19
URS0000000017	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000018	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000001A	RF00177	SSU_rRNA_bacteria	CL00111	^	5.2e-246
URS000000001C	RF00005	tRNA	CL00001	*	7.2e-09
URS000000001E	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000001F	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000020	RF00177	SSU_rRNA_bacteria	CL00111	^	4.1e-122
URS0000000021	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000024	RF00177	SSU_rRNA_bacteria	CL00111	^	8.5e-106
URS0000000026	RF00177	SSU_rRNA_bacteria	CL00111	^	9.2e-71
URS0000000027	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000028	RF00177	SSU_rRNA_bacteria	CL00111	^	1.5e-113
URS000000002A	RF02541	LSU_rRNA_bacteria	CL00112	^	1.5e-78
URS000000002B	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000002C	RF00010	RNaseP_bact_a	-	*	4.1e-95
URS000000002D	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000002E	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000002F	RF00005	tRNA	CL00001	*	2e-11
URS0000000030	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000031	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000033	RF00177	SSU_rRNA_bacteria	CL00111	^	1.2e-298
URS0000000034	RF00177	SSU_rRNA_bacteria	CL00111	^	5.1e-148
URS0000000035	RF00177	SSU_rRNA_bacteria	CL00111	^	2.3e-165
URS0000000036	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000037	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000038	RF00177	SSU_rRNA_bacteria	CL00111	^	1.6e-123
URS0000000039	RF01960	SSU_rRNA_eukarya	CL00111	*	1.3e-25
URS000000003A	RF00177	SSU_rRNA_bacteria	CL00111	^	2.2e-145
URS000000003C	RF01960	SSU_rRNA_eukarya	CL00111	*	4.3e-15
URS000000003D	RF00177	SSU_rRNA_bacteria	CL00111	^	1.1e-111
URS000000003F	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000040	RF00177	SSU_rRNA_bacteria	CL00111	^	2.8e-125
URS0000000042	RF00177	SSU_rRNA_bacteria	CL00111	*	1.3e-20
URS0000000043	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000044	RF00005	tRNA	CL00001	*	2.4e-13
URS0000000045	RF00177	SSU_rRNA_bacteria	CL00111	^	3.8e-232
URS0000000046	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000047	RF00177	SSU_rRNA_bacteria	CL00111	^	6e-80
URS0000000048	RF00177	SSU_rRNA_bacteria	CL00111	^	8.3e-68
URS0000000049	RF00177	SSU_rRNA_bacteria	CL00111	^	1.4e-266
URS000000004A	RF00177	SSU_rRNA_bacteria	CL00111	^	2.8e-129
URS000000004C	RF00177	SSU_rRNA_bacteria	CL00111	^	6.4e-123
URS000000004D	RF00177	SSU_rRNA_bacteria	CL00111	^	6.4e-46
